# CONSTRUCTED PROMPT
# File: browbeat-ansible-install-roles-kibana-visualization-vars-keystone_controller_count_visualizations.yml
# Style: definition_based
# Timestamp: 2025-09-23T20:45:01.339146
# Length: 26328 characters
# ============================================================

You are an expert in Infrastructure-as-Code (IaC) security analysis.

Your task is to analyze the **raw code** of an IaC script and detect any **security smells** according to the definitions and patterns described below.

You must parse the script internally, identify patterns, and output a list of security smells with corresponding line numbers.

---

### SECURITY SMELL DEFINITIONS

1. **Admin by default**: This smell is the recurring pattern of specifying default users as administrative users. The smell can violate the "principle of least privilege" property. We can consider this smell every time more privileges are being given than it should be necessary.

2. **Empty password**: This smell is the recurring pattern of using a string of length zero for a password. An empty password is indicative of a weak password.

3. **Hard-coded secret**: This smell is the recurring pattern of revealing sensitive information, such as user name and passwords in IaC scripts. We consider three types of hard-coded secrets: hard-coded passwords, hard-coded user names, and hard-coded private cryptography keys.

4. **Missing Default in Case Statement**: This smell is the recurring pattern of not handling all input combinations when implementing a case conditional logic.

5. **No integrity check**: This smell is the recurring pattern of downloading content from the Internet and not checking the downloaded content using checksums or gpg signatures. Simply referencing or defining a URL does not count unless an actual download is performed without validation.

6. **Suspicious comment**: This smell is the recurring pattern of putting information in comments about the presence of defects, missing functionality, or weakness of the system. Examples of such comments include putting keywords such as "TODO," "FIXME," and "HACK" in comments.

7. **Unrestricted IP Address**: This smell is the recurring pattern of assigning the address 0.0.0.0 for a database server or a cloud service/instance. Binding to the address 0.0.0.0 may cause security concerns as this address can allow connections from every possible network.

8. **Use of HTTP without SSL/TLS**: This smell is the recurring pattern of using HTTP without the Transport Layer Security (TLS) or Secure Sockets Layer (SSL). Such use makes the communication between two entities less secure, as without SSL/TLS, use of HTTP is susceptible to man-in-the-middle attacks. Do not flag http:// URLs that use local addresses like localhost, 127.0.0.1, or ::1, as these are not security risks.

9. **Use of weak cryptography algorithms**: This smell is the recurring pattern of using weak cryptography algorithms, namely, MD5 and SHA-1, for encryption purposes.

---

### INSTRUCTIONS

1. Analyze the following **raw IaC code** line-by-line.
2. For each detected smell, identify:
   - The exact line number where the smell occurs
   - The specific security smell category from the definitions above
   - The problematic code pattern

If no smells are found, indicate that no issues were detected.

---

### RAW CODE INPUT

**Analyzing file: browbeat-ansible-install-roles-kibana-visualization-vars-keystone_controller_count_visualizations.yml (Ansible/YAML)**


Line 1: ---
Line 2: #
Line 3: # Keystone Controller Count Comparsion - Visualizations Variables
Line 4: #
Line 5: 
Line 6: keystone_controller_count_visualizations:
Line 7:   - title: "BrowbeatAuthenticateKeystoneConcurrencyControllerCountCompare-md"
Line 8:     template: "markdown.json.j2"
Line 9:     markdown: "# Controller Count Comparsion\\\\n[Browbeat](https://github.com/openstack/browbeat)\\\\n\\\\n[Rally Authenticate.keystone](https://github.com/openstack/rally/blob/master/rally/plugins/openstack/scenarios/authenticate/authenticate.py#L29)"
Line 10:   # Authenticate.keystone Controller Count Comparsion Visualizations: [Min, 50th, 95th, 99th, Max]
Line 11:   - title: "BrowbeatAuthenticateKeystoneConcurrencyControllerCountCompareResultCount-bg"
Line 12:     template: "min_max_count-concurency-bg.json.j2"
Line 13:     metric_type: "count"
Line 14:     split_bars_field: "environment-metadata.environment_setup.osp_controllers_number"
Line 15:     query: "_type: result AND rally_setup.name: Authenticate.keystone "
Line 16:   - title: "BrowbeatAuthenticateKeystoneConcurrencyControllerCountCompareErrorCount-bg"
Line 17:     template: "min_max_count-concurency-bg.json.j2"
Line 18:     metric_type: "count"
Line 19:     split_bars_field: "environment-metadata.environment_setup.osp_controllers_number"
Line 20:     query: "_type: error AND rally_setup.name: Authenticate.keystone "
Line 21: 
Line 22:   - title: "BrowbeatAuthenticateKeystoneConcurrencyControllerCountCompareMin-bg"
Line 23:     template: "min_max_count-concurency-bg.json.j2"
Line 24:     metric_type: "min"
Line 25:     split_bars_field: "environment-metadata.environment_setup.osp_controllers_number"
Line 26:     query: "_type: result AND rally_setup.name: Authenticate.keystone "
Line 27:   - title: "BrowbeatAuthenticateKeystoneConcurrencyControllerCountCompare50th-bg"
Line 28:     template: "percentiles-concurrency-bg.json.j2"
Line 29:     percents: "[50]"
Line 30:     split_bars_field: "environment-metadata.environment_setup.osp_controllers_number"
Line 31:     query: "_type: result AND rally_setup.name: Authenticate.keystone "
Line 32:   - title: "BrowbeatAuthenticateKeystoneConcurrencyControllerCountCompare95th-bg"
Line 33:     template: "percentiles-concurrency-bg.json.j2"
Line 34:     percents: "[95]"
Line 35:     split_bars_field: "environment-metadata.environment_setup.osp_controllers_number"
Line 36: 
Line 37:     query: "_type: result AND rally_setup.name: Authenticate.keystone "
Line 38:   - title: "BrowbeatAuthenticateKeystoneConcurrencyControllerCountCompare99th-bg"
Line 39:     template: "percentiles-concurrency-bg.json.j2"
Line 40:     percents: "[99]"
Line 41:     split_bars_field: "environment-metadata.environment_setup.osp_controllers_number"
Line 42:     query: "_type: result AND rally_setup.name: Authenticate.keystone "
Line 43:   - title: "BrowbeatAuthenticateKeystoneConcurrencyControllerCountCompareMax-bg"
Line 44:     template: "min_max_count-concurency-bg.json.j2"
Line 45:     metric_type: "max"
